Item,Factor1 Loading,Factor2 Loading,Factor3 Loading,Factor4 Loading,Communalities,Uniqueness,descriptive_name
ENVRTX32,-0.0012416959402085097,0.8232259804982711,-0.1626922187207605,0.06568077678443114,0.7084852792474378,0.29151472075256224,Purchasing from M/WBE Suppliers
ENVRTX34,0.14704133602841793,0.6052265206250415,-0.10148451610842776,-0.021511392967835413,0.3986821428060942,0.6013178571939057,Ensuring No Sweatshop Labor in Supplier Plants
ENVRTX04,0.5509714633423752,0.052670919813264716,-0.0295079360091166,0.07069183394694777,0.31221183288591464,0.6877881671140853,Improving Workforce Environment
ENVRTX29,0.3268789707106382,0.6415455508428449,0.000787204962150032,-0.04702436265062184,0.5206424656734453,0.4793575343265547,Encouraging Supplier Environmental Improvement
ENVRTX41,0.2523904875330737,0.5826844501894839,-0.0005806070123284861,0.025800798859543287,0.40388814501609716,0.5961118549839028,Supplier Involvement in Internal Process Redesign
ENVRTX40,0.24069980201588165,0.6200944305702982,-0.08867321601481024,0.06729744893727278,0.45484538338666103,0.545154616613339,Co-development with Suppliers for Environmental Impact
ENVRTX09,0.38828152940426425,0.3941237732342414,0.05411476059229958,0.012631522133605442,0.3091840573702839,0.690815942629716,Land Consumption Reduction/Avoidance
ENVRTX17,0.13600971845022003,0.4800221878848264,-0.08191846280460142,0.22697951458939833,0.30715027896615144,0.6928497210338486,Supply Chain Carbon Tracking
ENVRTX07,0.3145437876212773,0.3083255531263418,-0.037731699102598264,0.1707553169109855,0.2245835004123439,0.7754164995876561,Remediation Projects
ENVRTX11,0.2422253436389653,0.5037408958898053,0.0750541379802988,0.008162740417738238,0.31812776125197156,0.6818722387480285,Outbound Transportation Improvements
ENVRTX10,0.18139969236862732,0.5348540475896577,0.15505120511914308,0.010387749371871612,0.34312348216038385,0.6568765178396161,Inbound Transportation Improvements
ENVRTX01,0.47700816496900694,0.05591398282017509,0.017361131421224134,0.14898265940823774,0.25316040461049016,0.7468395953895098,Energy Efficiency/Renewable Energy
ENVRTX14,0.6538310670640924,0.2074220480999106,0.03818845279736528,-0.17120342860740356,0.5012879421901183,0.4987120578098817,Industry-wide Code Compliance
ENVRTX15,0.6299625984629197,0.23227977755676588,-0.017939781784711555,-0.17762397207152755,0.4826788817489243,0.5173211182510757,Plant Compliance/Auditing Program
ENVRTX12,0.5489206866488433,-0.20592701639265024,0.09667492550296812,0.08305023368482888,0.35996323884752557,0.6400367611524744,ISO14001 Certification
ENVRTX31,0.2611919741687141,0.4016539546531351,-0.05968269643987718,0.10744414052154377,0.24465341424540066,0.7553465857545993,Requesting Supplier Environmental Conduct Code
ENVRTX35,0.056272931191886935,0.6005388845776976,-0.04516957350814273,-0.004670853623126547,0.3658757019192282,0.6341242980807718,Ensuring Supplier Child Labor Law Compliance
ENVRTX36,-0.12814181000821,0.6623805275948341,0.0039727604672176245,0.16588344421903758,0.48270138670069146,0.5172986132993085,Asking Suppliers for Living Wage
ENVRTX06,0.585498376121747,-0.07972509124570026,-0.033551016401592845,0.16989561290522956,0.37915462860136157,0.6208453713986384,Pollution Control
