Item,Factor1 Loading,Factor2 Loading,Factor3 Loading,Factor4 Loading,Factor5 Loading,Factor6 Loading,Factor7 Loading,Communalities,Uniqueness,descriptive_name
EPRACX01,0.020501821002422257,-0.1304118693612084,0.19398957645373924,0.0110708878566161,-0.06204111381523527,0.3045440153556029,0.8675487581443145,0.9044191055154261,0.09558089448457385,Certified Environmental Management System
EPRACX02,0.3724131442333949,0.012580676003646981,0.04972489938131973,-0.08167801962861015,0.024332717159953342,0.10195262328026057,0.6170375094589606,0.5397153945128761,0.4602846054871239,Internal Environmental Management Procedures
EPRACX03,0.5548443296754147,0.1880231215746708,-0.05270360353947867,-0.02127191863389851,-0.12402187626415614,0.1253511467146816,0.15373077476775804,0.4011625756535199,0.59883742434648,Cleaner Production Technologies
EPRACX04,0.533359771493583,0.0773393143257386,0.10502577132413238,-0.04349482965867595,-0.09296152899979578,0.3193378657614796,0.014626662154380922,0.41420868586618365,0.5857913141338164,Environment-Friendly Product Design
EPRACX05,0.44264643840333084,0.039648945677980406,0.11700088770873295,0.11669626945431848,-0.19970382277444226,0.3452793471513028,0.06399703605533918,0.38801020037753975,0.6119897996224603,Environmental Improvement of Packaging
EPRACX06,0.4540305734914689,0.05057954054123518,0.20914104285146198,0.0612795732868145,-0.04117249109618185,0.20737322257673665,-0.05724474997411439,0.3041730023580906,0.6958269976419094,Environment-Friendly Raw Materials
EPERFX01,0.23571641635659343,0.6296115915101195,0.02417280047382847,-0.043640212541904776,0.045172552925304116,-0.137809899082998,0.04560435688847487,0.4775736627276175,0.5224263372723825,Overall Environmental Performance
EPERFX02,0.057357143566839464,0.6726789137492968,0.17810077947525943,0.012613771207876772,0.008068458754934279,-0.00808181349767381,-0.15022307601404125,0.5103631460980722,0.4896368539019278,Raw Materials Consumption
EPERFX03,0.013259897990963667,0.8782979733478077,0.12071377191806228,0.042964622478329155,0.05774924287417357,-0.28846314982425186,-0.15301116183453609,0.8979593079020122,0.10204069209798783,Energy Consumption
EPERFX04,-0.038776717820746945,0.8948464702537247,0.06785128961263999,0.051553389278008746,0.04685754362537285,-0.27656181838884186,-0.11236814746267909,0.900824057967989,0.09917594203201097,Water Consumption
EPERFX05,-0.008289369215982521,0.8666231851693301,-0.03635654615362197,-0.016083786510084335,-0.01068363373012836,-0.06408599356393008,-0.03462383554921552,0.7581049099406512,0.24189509005934884,Emissions to Air
EPERFX06,-0.19839220397547155,0.849055221450735,-0.052804103443852515,0.03500515371349948,-0.04758054356115556,-0.07391349025038586,0.06220047453764433,0.7758638809972935,0.22413611900270647,Releases to Water
EPERFX07,-0.017442914982485062,0.6495998988371033,0.0603728497369576,0.05343769157364871,0.04245219363868114,0.05582717982716913,-0.027249240509106577,0.43444613557885703,0.565553864421143,Solid Waste Generation
EPERFX08,0.10537646136361273,0.5040291965654796,-0.021544913252091947,0.006030328034341866,0.05521641673598855,0.05907518041561611,0.12210485370231947,0.28709850265916664,0.7129014973408334,Waste Recovery
EPERFX09,0.024368678775919934,0.583909998000758,-0.10109868495666903,0.08288503498243589,-0.06681284315586834,-0.06134088617312793,0.00898265778556689,0.36694293986250465,0.6330570601374954,Fines or Violations
LAYOUTN01,0.10342922414543974,0.06289475223671721,-0.11377760662255883,0.7091743348126636,-0.019743110458687506,-0.033190750124815815,0.014845088911930378,0.5322387281612223,0.4677612718387777,Equipment Layout - Proximity
