Bundle,Item description,Loading,SE,t-value,p-value,formatted_p_value,significance
Environmental Practices,ENVRTX36,1.0271477165221643,0.08288101966371689,12.393039090128646,0.0,0.00e+00,***
Environmental Practices,ENVRTX37,0.9500569195243661,0.0772042525415207,12.305758921937912,0.0,0.00e+00,***
Environmental Practices,ENVRTX38,1.0465558603015181,0.07091224359723351,14.758464930904362,0.0,0.00e+00,***
Environmental Practices,ENVRTX39,1.017783792878445,0.07374412032427137,13.80155852972406,0.0,0.00e+00,***
Environmental Practices,ENVRTX40,1.029804199198272,0.06985534657888365,14.74195247224739,0.0,0.00e+00,***
Environmental Practices,ENVRTX41,1.003985465683646,0.06934726328716392,14.477650855898768,0.0,0.00e+00,***
Environmental Practices,EPRACX01,1.0015818411586246,0.08382597012915705,11.948347744922144,0.0,0.00e+00,***
Environmental Practices,EPRACX02,0.99794073806741,0.07371631538333713,13.537583001509935,0.0,0.00e+00,***
Environmental Practices,EPRACX03,0.998100816290089,0.06976671531209964,14.306260683552466,0.0,0.00e+00,***
Environmental Practices,EPRACX04,1.0592299625140096,0.07261837146555325,14.586253328697389,0.0,0.00e+00,***
Environmental Practices,EPRACX05,1.001621923169094,0.06869944091188367,14.579768188416695,0.0,0.00e+00,***
Environmental Practices,EPRACX06,0.9985140208437866,0.06907597940543064,14.455300227929667,0.0,0.00e+00,***
JIT Practices,JITDELN01,1.0426972210734855,0.07574514616547129,13.765861891607294,0.0,0.00e+00,***
JIT Practices,JITDELN02,0.9315316566922835,0.0803086571775104,11.599392760773856,0.0,0.00e+00,***
JIT Practices,JITDELN03,1.0153473211440138,0.07892341640805625,12.864969198677143,0.0,0.00e+00,***
JIT Practices,KANBANN01,0.9477068543227671,0.08061381676698035,11.756134274874709,0.0,0.00e+00,***
JIT Practices,KANBANN02,1.0326433511873039,0.0811417244088781,12.726416140526556,0.0,0.00e+00,***
JIT Practices,KANBANN03,1.0640250874451718,0.08118375783466909,13.10637885982146,0.0,0.00e+00,***
JIT Practices,LAYOUTN01,0.8733905219053952,0.06786740192409804,12.86907259072895,0.0,0.00e+00,***
JIT Practices,LAYOUTN02,0.9152843036978083,0.0691777178142732,13.23091210026823,0.0,0.00e+00,***
JIT Practices,LAYOUTN03,0.9413952735709822,0.07196888115230975,13.08058786656251,0.0,0.00e+00,***
