Item,Factor1 Loading,Factor2 Loading,Factor3 Loading,Factor4 Loading,Factor5 Loading,Factor6 Loading,Factor7 Loading,Factor8 Loading,Communalities,Uniqueness,descriptive_name
ENVRTX03,0.6068006797805588,0.11011513015751984,0.15671637134125005,0.23332445715883102,0.1093066588950265,-0.007629223923264192,0.047202003908422684,0.008865514798832677,0.4736455074886717,0.5263544925113284,"Reducing waste in internal processes (e.g., improving yield or efficiency)"
ENVRTX20,0.6085235727578867,0.31846829682218325,0.13406506632352252,0.04758022532979584,-0.0074630423070992345,0.09153651048472242,0.07472485627958929,0.009587600962407253,0.5060706705240268,0.49392932947597323,Life-cycle analysis of the “cradle to grave” environmental impact of materials/products
ENVRTX38,0.6051679604865577,0.3713359425065058,0.15872899921376077,0.005084190717321365,0.06740911049110758,0.018599524605537824,0.15478120437645593,-0.1208458145195236,0.5727902493911748,0.42720975060882516,Incorporating environmental considerations in evaluating and selecting suppliers
ENVRTX08,0.7461822030357095,-0.05551892336493846,0.06008099662307588,0.04681921567683126,0.011243396263661953,-0.03251997339229168,0.15295130866572662,-0.04633364104063142,0.59239686783426,0.40760313216573996,Decreasing the likelihood or impact of an environmental accident
ENVRTX05,0.7442751177943191,-0.02220546927646892,0.12616341094574324,0.09166623139328574,0.04109951885354058,-0.19107849005905658,0.17716624753893442,-0.11612288784488173,0.6618310022345512,0.33816899776544884,Pollution prevention (eliminating emissions or waste)
ENVRTX30,0.47019386278426534,0.5034048151436681,0.1160196826312552,0.09791257295495556,0.12981747493513382,0.04560766422042693,-0.06176120966767796,-0.12797742193837142,0.5366714185901199,0.4633285814098801,"Giving preference to materials with third party certifications, such as Green Seal, FSC or Energy Star"
ENVRTX24,0.6747624874053854,0.19755343785458926,0.290886454253129,0.059776828696221154,-0.01572937938764943,0.06447479204584837,0.13296928167657907,0.10713597151458655,0.6160833321818406,0.38391666781815936,Environmental improvements in the disposition of your organization’s equipment
ENVRTX32,0.33949880382096487,0.6647117638696605,0.19758323111179651,0.016052827407687546,-0.027968150311392305,0.15291270435459542,-0.0776413281875425,0.07328687537333417,0.6319616478365288,0.36803835216347125,Purchasing from minority- or women-owned business enterprise (M/WBE) suppliers
ENVRTX34,0.3291120988249379,0.5523312965685395,0.10212912003021452,0.03000214296119645,0.070677648183705,-0.005470219830770874,0.09362027504763525,0.014313611589229603,0.4387100091369484,0.5612899908630515,Visiting suppliers’ plants or ensuring that they are not using sweatshop labor
ENVRTX04,0.5413757143836783,0.0740211246136942,0.18880406977071393,0.011434084443245923,0.046498097388207614,0.04756498541527305,0.17211959271009813,0.04873779129669963,0.370769533456003,0.629230466543997,"Improving the workforce environment (e.g., indoor air quality)"
